Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Urban Population,SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,46.14700148,46.2263539,46.32018123,46.31050971,46.37684913,46.54402042,46.65805507
Urban Population,SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100
Urban Population,SP.URB.TOTL.IN.ZS,Central African Republic,CAF,40.277,40.618,40.98,41.364,41.77,42.198,42.648
Urban Population,SP.URB.TOTL.IN.ZS,Central Europe and the Baltics,CEB,62.14067246,62.18448432,62.24845473,62.3336666,62.43813921,62.56145424,62.68999647
Urban Population,SP.URB.TOTL.IN.ZS,Chad,TCD,22.515,22.677,22.858,23.059,23.279,23.52,23.781
Urban Population,SP.URB.TOTL.IN.ZS,Channel Islands,CHI,30.962,30.93,30.914,30.914,30.931,30.963,31.012
Urban Population,SP.URB.TOTL.IN.ZS,Chile,CHL,87.36,87.422,87.49,87.564,87.643,87.727,87.817
Urban Population,SP.URB.TOTL.IN.ZS,China,CHN,55.5,56.736,57.96,59.152,60.308,61.428,62.512
Urban Population,SP.URB.TOTL.IN.ZS,Colombia,COL,79.764,80.108,80.446,80.778,81.104,81.425,81.74
Urban Population,SP.URB.TOTL.IN.ZS,Comoros,COM,28.47,28.619,28.784,28.965,29.164,29.38,29.613
Urban Population,SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,42.74,43.307,43.88,44.46,45.046,45.638,46.235
Urban Population,SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,65.543,66.001,66.459,66.916,67.373,67.829,68.283
Urban Population,SP.URB.TOTL.IN.ZS,Costa Rica,CRI,76.862,77.735,78.56,79.34,80.076,80.771,81.425
Urban Population,SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,49.444,49.881,50.326,50.779,51.239,51.706,52.18
Urban Population,SP.URB.TOTL.IN.ZS,Croatia,HRV,56.155,56.403,56.667,56.947,57.242,57.553,57.878
Urban Population,SP.URB.TOTL.IN.ZS,Cuba,CUB,76.896,76.93,76.977,77.037,77.109,77.194,77.292
